,coef,SE,t,p-value
name[T.At5g47390],-2.447433985489593,1.2632710739162392,-1.937378315726296,0.19229859387797998
name[T.At5g52660],-1.1737347888080922,1.2568079501534464,-0.9339014673361896,0.4489438680101875
name[T.At5g58900],-3.8210975900137965,1.254807566814522,-3.045166200036637,0.09303499367834539
name[T.BEE2],-149.26518109469123,12.65614511901665,-11.793889821191364,0.007112676400704255
name[T.BHLH104],-6.589451204615826,1.2491421338926187,-5.275181283079097,0.034107735023277866
name[T.BHLH112],-6.589451204600091,1.2491421338926203,-5.275181283066494,0.03410773502343261
name[T.BHLH13],-2.7351507859640742,1.2620805508871578,-2.1671760839999057,0.16253757929116716
name[T.BHLH3],-113.07184358961567,8.406939173942588,-13.449822967684035,0.005482565447405348
name[T.BHLH34],-6.589451204603155,1.249142133892622,-5.27518128306894,0.03410773502340258
name[T.BHLH78],-6.589451204611298,1.2491421338926219,-5.275181283075459,0.034107735023322545
name[T.BIM1],-3.0947967866714814,1.260655938266024,-2.4549099343697507,0.13349670463982732
name[T.BIM2],-1.2167081908738506,1.2536995928281316,-0.9704942059757437,0.43417514629091936
name[T.BIM3],-2.5534866048354488,1.2490899212452644,-2.04427764679246,0.1776091234183746
name[T.BPC1],-2.4474339854413247,1.2632710739162258,-1.9373783156881077,0.1922985938835144
name[T.BPC5],-2.375504785501258,1.2635757483308825,-1.879986054369258,0.20086268022145023
name[T.BPC6],-6.661380404969245,1.2492487431507489,-5.332309070944893,0.033416848879949224
name[T.BZIP60],-6.58945120460724,1.2491421338926219,-5.275181283072211,0.03410773502336241
name[T.BZR1],-16.177981819215066,1.2761981196382737,-12.676700874469681,0.006165334582875893
name[T.BZR2],-2.73515076240111,1.262080550937876,-2.167176065242878,0.16253758145591546
name[T.CAMTA1],-2.7711153862584412,1.2619349092708838,-2.195925769150428,0.15926537581260683
name[T.CBF1],-1.5553277859656252,1.2628193418987979,-1.2316312669292873,0.3432505255046312
name[T.CBF2],-35.223925737977076,2.3101543400375366,-15.247433960366795,0.004273811629329217
name[T.CBF4],-17.71893607854854,1.6682427753582438,-10.621317436692342,0.008748126674431447
name[T.CCA1],-2.2989726324809214,1.3291600214785553,-1.7296432298073097,0.2258345506484971
name[T.CDC5],-2.3755047855010005,1.2635757483308823,-1.8799860543690543,0.20086268022148154
name[T.CDF2],1.1508672022878645,1.2476223276976397,0.9224483858121336,0.4536760452301001
name[T.CDF3],-9.834759271184275,1.601599782787395,-6.140584793329604,0.025509994724326676
name[T.CEJ1],-55.247002070141164,4.003304253830307,-13.800350552242335,0.00520973427620274
name[T.CMTA2],18.341737289453036,1.9955269654731902,9.19142542636789,0.011630696087123285
name[T.CMTA3],-6.58945120460708,1.2491421338926219,-5.275181283072083,0.034107735023363984
name[T.COG1],-12.521769034811479,1.340729596416638,-9.339518623500485,0.011270936190313819
name[T.CRF2],0.8622298114634228,1.2569258834731325,0.6859830184106901,0.5635700507658203
name[T.CRF4],-78.19722861158037,5.927138379046475,-13.19308300410565,0.005696187752742544
name[T.DAG2],-2.447433985441407,1.2632710739162258,-1.9373783156881728,0.19229859388350495
name[T.DEAR3],-2.375504785501132,1.2635757483308827,-1.8799860543691578,0.20086268022146567
name[T.DEAR5],-2.375504785500767,1.263575748330883,-1.8799860543688685,0.20086268022151013
name[T.DOF1.8],-70.72841229772095,7.1137379380681445,-9.94251024053445,0.009965022159100832
name[T.DOF2.4],5.092955605993266,1.249949509076669,4.074529066182365,0.05528657858389031
name[T.DOF2.5],-54.75496224662925,6.409759914783843,-8.542435750259417,0.013428257003346968
name[T.DOF5.3],-0.7851329900943993,1.2549126044639527,-0.6256475449378214,0.5954236725650579
name[T.DOF5.6],-5.76559184275024,1.3860451291543086,-4.159743230199221,0.05322037863867246
name[T.DOF5.7],-1.3965311912171945,1.2532247589061176,-1.1143501445312671,0.3810862147124663
