,coef,SE,t,p-value
name[T.At3g11280],8.092999828504619e-12,3.1027102587902643e-09,0.00260836467265237,0.9981556107892635
name[T.At4g01280],1.999999999997157,3.0690900009398345e-09,651658960.5989741,2.354828358473913e-18
name[T.At5g05790],6.468259467536791e-12,3.090876224463653e-09,0.0020926944328413543,0.9985202431956863
name[T.At5g08330],-2.0467338896846057e-13,3.1063183809160007e-09,-6.588937895931513e-05,0.9999534091733803
name[T.At5g08520],9.0463910640921e-12,3.0676522308650767e-09,0.0029489623931527017,0.9979147732278133
name[T.At5g47390],-6.170476998280938e-13,3.1070608139311526e-09,-0.00019859530816436946,0.9998595719122698
name[T.At5g52660],1.652883545636384e-11,3.0911645276996418e-09,0.005347122519118754,0.9962190404328328
name[T.At5g58900],-6.857245945113971e-12,3.0862445126580997e-09,-0.0022218738395448807,0.9984288998801373
name[T.BEE2],22.999999999874913,3.112824584261001e-08,738878769.9816763,1.8316969551011472e-18
name[T.BHLH104],-8.929515330283189e-12,3.072310175848636e-09,-0.0029064498111153994,0.9979448339696058
name[T.BHLH112],-6.684532925284054e-12,3.0723101758486403e-09,-0.0021757350471417287,0.9984615248148171
name[T.BHLH13],1.886587864012232e-11,3.1041326795599015e-09,0.006077665031636821,0.9957024815276134
name[T.BHLH3],14.999999999870163,2.067717041243017e-08,725437750.9435647,1.9002016723203517e-18
name[T.BHLH34],-5.795539788637678e-12,3.072310175848645e-09,-0.001886378476429976,0.99866613017405
name[T.BHLH78],-6.1826736086475695e-12,3.0723101758486445e-09,-0.0020123858773275615,0.9985770297404265
name[T.BIM1],-4.517757587300941e-12,3.100628793385706e-09,-0.0014570456150501696,0.9989697137119196
name[T.BIM2],1.5040005333266833e-11,3.083519410637599e-09,0.004877545210638682,0.9965510752188182
name[T.BIM3],-7.26873693613489e-13,3.0721817569574453e-09,-0.0002365985319609973,0.999832699575973
name[T.BPC1],-1.2064972501960036e-12,3.1070608139311195e-09,-0.00038830821874693774,0.9997254246356839
name[T.BPC5],-1.2337777284196494e-12,3.10781017165357e-09,-0.0003969926283377837,0.9997192838314817
name[T.BPC6],1.0000000000002611,3.0725723851679016e-09,325460192.51735735,9.440701062091438e-18
name[T.BZIP60],-5.807153477706273e-12,3.0723101758486445e-09,-0.0018901585925002512,0.9986634572354909
name[T.BZR1],7.342073346863764e-12,3.1388553495871577e-09,0.0023390926083387185,0.9983460140172047
name[T.BZR2],-1.3281610352097555e-09,3.1041326796846453e-09,-0.42786864231096133,0.7104147271700859
name[T.CAMTA1],5.366954642749104e-12,3.103774468746604e-09,0.0017291703043476735,0.9987772928659517
name[T.CBF1],1.856866429280485e-11,3.1059497627254606e-09,0.0059784174604649454,0.9957726582456301
name[T.CBF2],4.999999999973149,5.681908002382974e-09,879986088.8061131,1.2913631419156168e-18
name[T.CBF4],-1.3245617710294644e-11,4.103103334243708e-09,-0.003228195010286306,0.9977173273642979
name[T.CCA1],1.3035815916301319e-12,3.2691170592367506e-09,0.0003987564739986651,0.9997180366044021
